t_rel_s,signal,threshold
141.01283168792725,48108.0,48078.0
141.03686141967773,48115.0,48078.0
142.04413056373596,19.0,48078.0
142.05176949501038,19.0,48078.0
142.05572652816772,19.0,48078.0
142.0593819618225,19.0,48078.0
142.0791847705841,48115.0,48078.0
143.08863520622253,22.0,48078.0
143.0967981815338,22.0,48078.0
143.10087943077087,22.0,48078.0
143.1052896976471,22.0,48078.0
143.1252737045288,48115.0,48078.0
144.13453483581543,22.0,48078.0
144.14402413368225,22.0,48078.0
144.14793920516968,22.0,48078.0
144.1519763469696,22.0,48078.0
144.1715235710144,48109.0,48078.0
145.17981600761414,18.0,48078.0
145.18716669082642,18.0,48078.0
145.1906440258026,18.0,48078.0
145.1944456100464,18.0,48078.0
145.2136857509613,48115.0,48078.0
146.22221732139587,21.0,48078.0
146.2298150062561,21.0,48078.0
146.2337508201599,21.0,48078.0
146.2373971939087,21.0,48078.0
146.24092602729797,13.0,48078.0
146.25989937782288,48116.0,48078.0
147.26831007003784,12.0,48078.0
147.2756860256195,12.0,48078.0
147.27927494049072,12.0,48078.0
147.28296613693237,12.0,48078.0
147.30289387702942,48115.0,48078.0
148.31100130081177,17.0,48078.0
148.31870222091675,17.0,48078.0
148.32251954078674,17.0,48078.0
148.32599902153015,17.0,48078.0
148.34414315223694,48109.0,48078.0
149.35269856452942,622.0,48078.0
149.36110377311707,622.0,48078.0
149.36518335342407,622.0,48078.0
149.3691680431366,622.0,48078.0
149.3885612487793,48114.0,48078.0
150.39752650260925,13.0,48078.0
150.40565395355225,13.0,48078.0
150.4093780517578,13.0,48078.0
150.41302609443665,13.0,48078.0
150.4318287372589,48114.0,48078.0
151.44071245193481,21.0,48078.0
151.44772815704346,21.0,48078.0
151.45129013061523,21.0,48078.0
151.45462560653687,21.0,48078.0
151.47246050834656,48113.0,48078.0
151.49521350860596,48113.0,48078.0
152.54394459724426,48113.0,48078.0
153.59176802635193,48113.0,48078.0
154.63580703735352,48116.0,48078.0
155.68056869506836,48105.0,48078.0
155.7062828540802,48114.0,48078.0
156.71521735191345,22.0,48078.0
156.7247829437256,22.0,48078.0
156.72929501533508,22.0,48078.0
156.73391151428223,22.0,48078.0
156.75618863105774,48107.0,48078.0
157.76608800888062,24.0,48078.0
157.7749764919281,24.0,48078.0
157.77998423576355,24.0,48078.0
157.78519582748413,24.0,48078.0
157.80742073059082,48114.0,48078.0
158.81707787513733,29.0,48078.0
158.82532334327698,29.0,48078.0
158.8294780254364,29.0,48078.0
158.83352518081665,29.0,48078.0
158.8529393672943,48114.0,48078.0
159.86278462409973,20.0,48078.0
159.87285542488098,20.0,48078.0
159.8776969909668,20.0,48078.0
159.88217782974243,20.0,48078.0
159.9034812450409,48116.0,48078.0
159.92981100082397,48116.0,48078.0
160.98016381263733,48109.0,48078.0
162.02594923973083,48109.0,48078.0
